	#	Name	Type 1	Type 2	Speed	total	Generation	Legendary	HP	Attack	Defense	Sp. Atk	Sp. Def
381	349	Feebas	Water		80	58.0	3	False	20	15	20	10	55
382	350	Milotic	Water		81	237.0	3	False	95	60	79	100	125
383	351	Castform	Normal		70	213.0	3	False	70	70	70	70	70
384	352	Kecleon	Normal		40	223.0	3	False	60	90	70	60	120
385	353	Shuppet	Ghost		45	157.0	3	False	44	75	35	63	33
386	354	Banette	Ghost		65	247.0	3	False	64	115	65	83	63
387	354	BanetteMega Banette	Ghost		75	307.0	3	False	64	165	75	93	83
388	355	Duskull	Ghost		25	153.0	3	False	20	40	90	30	90
389	356	Dusclops	Ghost		25	243.0	3	False	40	70	130	60	130
390	357	Tropius	Grass	Flying	51	253.0	3	False	99	68	83	72	87
391	358	Chimecho	Psychic		65	188.0	3	False	65	50	70	95	80
392	359	Absol	Dark		75	258.0	3	False	65	130	60	75	60
393	359	AbsolMega Absol	Dark		115	278.0	3	False	65	150	60	115	60
394	360	Wynaut	Psychic		23	169.0	3	False	95	23	48	23	48
395	361	Snorunt	Ice		50	153.0	3	False	50	50	50	50	50
396	362	Glalie	Ice		80	243.0	3	False	80	80	80	80	80
397	362	GlalieMega Glalie	Ice		100	283.0	3	False	80	120	80	120	80
398	363	Spheal	Ice	Water	25	163.0	3	False	70	40	50	55	50
399	364	Sealeo	Ice	Water	45	223.0	3	False	90	60	70	75	70
400	365	Walrein	Ice	Water	65	283.0	3	False	110	80	90	95	90
401	366	Clamperl	Water		32	187.0	3	False	35	64	85	74	55
402	367	Huntail	Water		52	267.0	3	False	55	104	105	94	75
403	368	Gorebyss	Water		52	247.0	3	False	55	84	105	114	75
404	369	Relicanth	Water	Rock	55	323.0	3	False	100	90	130	45	65
405	370	Luvdisc	Water		97	131.0	3	False	43	30	55	40	65
406	371	Bagon	Dragon		50	183.0	3	False	45	75	60	40	30
407	372	Shelgon	Dragon		50	263.0	3	False	65	95	100	60	50
408	373	Salamence	Dragon	Flying	100	313.0	3	False	95	135	80	110	80
409	373	SalamenceMega Salamence	Dragon	Flying	120	373.0	3	False	95	145	130	120	90
410	374	Beldum	Steel	Psychic	30	178.0	3	False	40	55	80	35	60
411	375	Metang	Steel	Psychic	50	238.0	3	False	60	75	100	55	80
412	376	Metagross	Steel	Psychic	70	348.0	3	False	80	135	130	95	90
413	376	MetagrossMega Metagross	Steel	Psychic	110	378.0	3	False	80	145	150	105	110
414	377	Regirock	Rock		50	384.0	3	True	80	100	200	50	100
415	378	Regice	Ice		50	234.0	3	True	80	50	100	100	200
416	379	Registeel	Steel		50	309.0	3	True	80	75	150	75	150
417	380	Latias	Dragon	Psychic	110	254.0	3	True	80	80	90	110	130
418	380	LatiasMega Latias	Dragon	Psychic	110	304.0	3	True	80	100	120	140	150
419	381	Latios	Dragon	Psychic	110	254.0	3	True	80	90	80	130	110
420	381	LatiosMega Latios	Dragon	Psychic	110	314.0	3	True	80	130	100	160	120
421	382	Kyogre	Water		90	294.0	3	True	100	100	90	150	140
422	382	KyogrePrimal Kyogre	Water		90	344.0	3	True	100	150	90	180	160
423	383	Groudon	Ground		90	394.0	3	True	100	150	140	100	90
424	383	GroudonPrimal Groudon	Ground	Fire	90	444.0	3	True	100	180	160	150	90
425	384	Rayquaza	Dragon	Flying	95	349.0	3	True	105	150	90	150	90
426	384	RayquazaMega Rayquaza	Dragon	Flying	115	389.0	3	True	105	180	100	180	100
427	385	Jirachi	Steel	Psychic	100	304.0	3	True	100	100	100	100	100
428	386	DeoxysNormal Forme	Psychic		150	254.0	3	True	50	150	50	150	50
429	386	DeoxysAttack Forme	Psychic		150	254.0	3	True	50	180	20	180	20
430	386	DeoxysDefense Forme	Psychic		90	284.0	3	True	50	70	160	70	160
431	386	DeoxysSpeed Forme	Psychic		180	239.0	3	True	50	95	90	95	90
432	387	Turtwig	Grass		31	191.0	4	False	55	68	64	45	55
433	388	Grotle	Grass		36	253.0	4	False	75	89	85	55	65
434	389	Torterra	Grass	Ground	56	313.0	4	False	95	109	105	75	85
435	390	Chimchar	Fire		61	150.0	4	False	44	58	44	58	44
436	391	Monferno	Fire	Fighting	81	198.0	4	False	64	78	52	78	52
437	392	Infernape	Fire	Fighting	108	255.0	4	False	76	104	71	104	71
438	393	Piplup	Water		40	161.0	4	False	53	51	53	61	56
439	394	Prinplup	Water		50	202.0	4	False	64	66	68	81	76
440	395	Empoleon	Water	Steel	60	262.0	4	False	84	86	88	111	101
441	396	Starly	Normal	Flying	60	129.0	4	False	40	55	30	30	30
442	397	Staravia	Normal	Flying	80	184.0	4	False	55	75	50	40	40
443	398	Staraptor	Normal	Flying	100	279.0	4	False	85	120	70	50	60
444	399	Bidoof	Normal		31	148.0	4	False	59	45	40	35	40
445	400	Bibarel	Normal	Water	71	228.0	4	False	79	85	60	55	60
446	401	Kricketot	Bug		25	107.0	4	False	37	25	41	25	41
447	402	Kricketune	Bug		65	217.0	4	False	77	85	51	55	51
448	403	Shinx	Electric		45	148.0	4	False	45	65	34	40	34
449	404	Luxio	Electric		60	198.0	4	False	60	85	49	60	49
450	405	Luxray	Electric		70	283.0	4	False	80	120	79	95	79
451	406	Budew	Grass	Poison	55	109.0	4	False	40	30	35	50	70
452	407	Roserade	Grass	Poison	90	199.0	4	False	60	70	65	125	105
453	408	Cranidos	Rock		58	236.0	4	False	67	125	40	30	30
454	409	Rampardos	Rock		58	326.0	4	False	97	165	60	65	50
455	410	Shieldon	Rock	Steel	30	194.0	4	False	30	42	118	42	88
456	411	Bastiodon	Rock	Steel	30	284.0	4	False	60	52	168	47	138
457	412	Burmy	Bug		36	118.0	4	False	40	29	45	29	45
458	413	WormadamPlant Cloak	Bug	Grass	36	208.0	4	False	60	59	85	79	105
459	413	WormadamSandy Cloak	Bug	Ground	36	248.0	4	False	60	79	105	59	85
460	413	WormadamTrash Cloak	Bug	Steel	36	228.0	4	False	60	69	95	69	95
461	414	Mothim	Bug	Flying	66	218.0	4	False	70	94	50	94	50
462	415	Combee	Bug	Flying	70	106.0	4	False	30	30	42	30	42
463	416	Vespiquen	Bug	Flying	40	256.0	4	False	70	80	102	80	102
464	417	Pachirisu	Electric		95	179.0	4	False	60	45	70	45	90
465	418	Buizel	Water		85	159.0	4	False	55	65	35	60	30
466	419	Floatzel	Water		115	249.0	4	False	85	105	55	85	50
467	420	Cherubi	Grass		35	129.0	4	False	45	35	45	62	53
468	421	Cherrim	Grass		85	204.0	4	False	70	60	70	87	78
469	422	Shellos	Water		34	176.0	4	False	76	48	48	57	62
470	423	Gastrodon	Water	Ground	39	266.0	4	False	111	83	68	92	82
471	424	Ambipom	Normal		115	245.0	4	False	75	100	66	60	66
472	425	Drifloon	Ghost	Flying	70	178.0	4	False	90	50	34	60	44
473	426	Drifblim	Ghost	Flying	80	278.0	4	False	150	80	44	90	54
474	427	Buneary	Normal		85	169.0	4	False	55	66	44	44	56
475	428	Lopunny	Normal		105	229.0	4	False	65	76	84	54	96
476	428	LopunnyMega Lopunny	Normal	Fighting	135	299.0	4	False	65	136	94	54	96
477	429	Mismagius	Ghost		105	184.0	4	False	60	60	60	105	105
478	430	Honchkrow	Dark	Flying	71	281.0	4	False	100	125	52	105	52
479	431	Glameow	Normal		85	150.0	4	False	49	55	42	42	37
480	432	Purugly	Normal		112	221.0	4	False	71	82	64	64	59
481	433	Chingling	Psychic		45	129.0	4	False	45	30	50	65	50
482	434	Stunky	Poison	Dark	74	177.0	4	False	63	63	47	41	41
483	435	Skuntank	Poison	Dark	84	267.0	4	False	103	93	67	71	61
484	436	Bronzor	Steel	Psychic	23	171.0	4	False	57	24	86	24	86
485	437	Bronzong	Steel	Psychic	33	276.0	4	False	67	89	116	79	116
486	438	Bonsly	Rock		10	229.0	4	False	50	80	95	10	45
487	439	Mime Jr.	Psychic	Fairy	60	94.0	4	False	20	25	45	70	90
488	440	Happiny	Normal		30	114.0	4	False	100	5	5	15	65
489	441	Chatot	Normal	Flying	91	190.0	4	False	76	65	45	92	42
490	442	Spiritomb	Ghost	Dark	35	254.0	4	False	50	92	108	92	108
491	443	Gible	Dragon	Ground	42	177.0	4	False	58	70	45	40	45
492	444	Gabite	Dragon	Ground	82	227.0	4	False	68	90	65	50	55
493	445	Garchomp	Dragon	Ground	102	337.0	4	False	108	130	95	80	85
494	445	GarchompMega Garchomp	Dragon	Ground	92	397.0	4	False	108	170	115	120	95
495	446	Munchlax	Normal		5	264.0	4	False	135	85	40	40	85
496	447	Riolu	Fighting		60	154.0	4	False	40	70	40	35	40
497	448	Lucario	Fighting	Steel	90	254.0	4	False	70	110	70	115	70
498	448	LucarioMega Lucario	Fighting	Steel	112	307.0	4	False	70	145	88	140	70
499	449	Hippopotas	Ground		32	222.0	4	False	68	72	78	38	42
500	450	Hippowdon	Ground		47	342.0	4	False	108	112	118	68	72
501	451	Skorupi	Poison	Bug	65	184.0	4	False	40	50	90	30	55
502	452	Drapion	Poison	Dark	95	274.0	4	False	70	90	110	60	75
503	453	Croagunk	Poison	Fighting	50	153.0	4	False	48	61	40	61	40
504	454	Toxicroak	Poison	Fighting	85	258.0	4	False	83	106	65	86	65
505	455	Carnivine	Grass		46	250.0	4	False	74	100	72	90	72
506	456	Finneon	Water		66	158.0	4	False	49	49	56	49	61
507	457	Lumineon	Water		91	218.0	4	False	69	69	76	69	86
508	458	Mantyke	Water	Flying	50	119.0	4	False	45	20	50	60	120
509	459	Snover	Grass	Ice	40	176.0	4	False	60	62	50	62	60
510	460	Abomasnow	Grass	Ice	60	261.0	4	False	90	92	75	92	85
511	460	AbomasnowMega Abomasnow	Grass	Ice	30	331.0	4	False	90	132	105	132	105
512	461	Weavile	Dark	Ice	125	259.0	4	False	70	120	65	45	85
513	462	Magnezone	Electric	Steel	60	259.0	4	False	70	70	115	130	90
514	463	Lickilicky	Normal		50	294.0	4	False	110	85	95	80	95
515	464	Rhyperior	Ground	Rock	40	389.0	4	False	115	140	130	55	55
516	465	Tangrowth	Grass		50	329.0	4	False	100	100	125	110	50
517	466	Electivire	Electric		95	269.0	4	False	75	123	67	95	85
518	467	Magmortar	Fire		83	241.0	4	False	75	95	67	125	95
519	468	Togekiss	Fairy	Flying	80	234.0	4	False	85	50	95	120	115
520	469	Yanmega	Bug	Flying	95	252.0	4	False	86	76	86	116	56
521	470	Leafeon	Grass		95	309.0	4	False	65	110	130	60	65
522	471	Glaceon	Ice		65	239.0	4	False	65	60	110	130	95
523	472	Gliscor	Ground	Flying	95	299.0	4	False	75	95	125	45	75
524	473	Mamoswine	Ice	Ground	80	324.0	4	False	110	130	80	70	60
525	474	Porygon-Z	Normal		90	239.0	4	False	85	80	70	135	75
526	475	Gallade	Psychic	Fighting	80	262.0	4	False	68	125	65	65	115
527	475	GalladeMega Gallade	Psychic	Fighting	110	332.0	4	False	68	165	95	65	115
528	476	Probopass	Rock	Steel	40	264.0	4	False	60	55	145	75	150
529	477	Dusknoir	Ghost		45	284.0	4	False	45	100	135	65	135
530	478	Froslass	Ice	Ghost	110	224.0	4	False	70	80	70	80	70
531	479	Rotom	Electric	Ghost	91	181.0	4	False	50	50	77	95	77
532	479	RotomHeat Rotom	Electric	Fire	86	226.0	4	False	50	65	107	105	107
533	479	RotomWash Rotom	Electric	Water	86	226.0	4	False	50	65	107	105	107
534	479	RotomFrost Rotom	Electric	Ice	86	226.0	4	False	50	65	107	105	107
535	479	RotomFan Rotom	Electric	Flying	86	226.0	4	False	50	65	107	105	107
536	479	RotomMow Rotom	Electric	Grass	86	226.0	4	False	50	65	107	105	107
537	480	Uxie	Psychic		95	285.0	4	True	75	75	130	75	130
538	481	Mesprit	Psychic		80	295.0	4	True	80	105	105	105	105
539	482	Azelf	Psychic		115	275.0	4	True	75	125	70	125	70
540	483	Dialga	Steel	Dragon	90	345.0	4	True	100	120	120	150	100
541	484	Palkia	Water	Dragon	100	315.0	4	True	90	120	100	150	120
542	485	Heatran	Fire	Steel	77	292.0	4	True	91	90	106	130	106
543	486	Regigigas	Normal		100	385.0	4	True	110	160	110	80	110
544	487	GiratinaAltered Forme	Ghost	Dragon	90	375.0	4	True	150	100	120	100	120
545	487	GiratinaOrigin Forme	Ghost	Dragon	90	375.0	4	True	150	120	100	120	100
546	488	Cresselia	Psychic		85	314.0	4	False	120	70	120	75	130
547	489	Phione	Water		80	244.0	4	False	80	80	80	80	80
548	490	Manaphy	Water		100	304.0	4	False	100	100	100	100	100
549	491	Darkrai	Dark		125	255.0	4	True	70	90	90	135	90
550	492	ShayminLand Forme	Grass		100	305.0	4	True	100	100	100	100	100
551	492	ShayminSky Forme	Grass	Flying	127	283.0	4	True	100	103	75	120	75
552	493	Arceus	Normal		120	365.0	4	True	120	120	120	120	120
553	494	Victini	Psychic	Fire	100	306.0	5	True	100	100	100	100	100
554	495	Snivy	Grass		63	150.0	5	False	45	45	55	45	55
555	496	Servine	Grass		83	200.0	5	False	60	60	75	60	75
556	497	Serperior	Grass		113	250.0	5	False	75	75	95	75	95
557	498	Tepig	Fire		45	178.0	5	False	65	63	45	45	45
558	499	Pignite	Fire	Fighting	55	243.0	5	False	90	93	55	70	55
559	500	Emboar	Fire	Fighting	65	303.0	5	False	110	123	65	100	65
560	501	Oshawott	Water		45	160.0	5	False	55	55	45	63	45
561	502	Dewott	Water		60	215.0	5	False	75	75	60	83	60
562	503	Samurott	Water		70	285.0	5	False	95	100	85	108	70
563	504	Patrat	Normal		42	144.0	5	False	45	55	39	35	39
564	505	Watchog	Normal		77	219.0	5	False	60	85	69	60	69
565	506	Lillipup	Normal		55	155.0	5	False	45	60	45	25	45
566	507	Herdier	Normal		60	215.0	5	False	65	80	65	35	65
567	508	Stoutland	Normal		80	290.0	5	False	85	110	90	45	90
568	509	Purrloin	Dark		66	133.0	5	False	41	50	37	50	37
569	510	Liepard	Dark		106	207.0	5	False	64	88	50	88	50
570	511	Pansage	Grass		64	156.0	5	False	50	53	48	53	48
571	512	Simisage	Grass		101	241.0	5	False	75	98	63	98	63
572	513	Pansear	Fire		64	156.0	5	False	50	53	48	53	48
573	514	Simisear	Fire		101	241.0	5	False	75	98	63	98	63
574	515	Panpour	Water		64	156.0	5	False	50	53	48	53	48
575	516	Simipour	Water		101	241.0	5	False	75	98	63	98	63
576	517	Munna	Psychic		24	151.0	5	False	76	25	45	67	55
577	518	Musharna	Psychic		29	261.0	5	False	116	55	85	107	95
578	519	Pidove	Normal	Flying	43	160.0	5	False	50	55	50	36	30
579	520	Tranquill	Normal	Flying	65	206.0	5	False	62	77	62	50	42
580	521	Unfezant	Normal	Flying	93	280.0	5	False	80	115	80	65	55
581	522	Blitzle	Electric		76	142.0	5	False	45	60	32	50	32
582	523	Zebstrika	Electric		116	243.0	5	False	75	100	63	80	63
583	524	Roggenrola	Rock		15	220.0	5	False	55	75	85	25	25
584	525	Boldore	Rock		20	285.0	5	False	70	105	105	50	40
585	526	Gigalith	Rock		25	355.0	5	False	85	135	130	60	80
586	527	Woobat	Psychic	Flying	72	148.0	5	False	55	45	43	55	43
587	528	Swoobat	Psychic	Flying	114	184.0	5	False	67	57	55	77	55
588	529	Drilbur	Ground		68	190.0	5	False	60	85	40	30	45
589	530	Excadrill	Ground	Steel	88	310.0	5	False	110	135	60	50	65
590	531	Audino	Normal		50	254.0	5	False	103	60	86	60	86
591	531	AudinoMega Audino	Normal	Fairy	50	294.0	5	False	103	60	126	80	126
592	532	Timburr	Fighting		35	215.0	5	False	75	80	55	25	35
593	533	Gurdurr	Fighting		40	280.0	5	False	85	105	85	40	50
594	534	Conkeldurr	Fighting		45	345.0	5	False	105	140	95	55	65
595	535	Tympole	Water		64	145.0	5	False	50	50	40	50	40
596	536	Palpitoad	Water	Ground	69	200.0	5	False	75	65	55	65	55
597	537	Seismitoad	Water	Ground	74	280.0	5	False	105	95	75	85	75
598	538	Throh	Fighting		45	310.0	5	False	120	100	85	30	85
599	539	Sawk	Fighting		85	280.0	5	False	75	125	75	30	75
600	540	Sewaddle	Bug	Grass	42	173.0	5	False	45	53	70	40	60
601	541	Swadloon	Bug	Grass	42	213.0	5	False	55	63	90	50	80
602	542	Leavanny	Bug	Grass	92	263.0	5	False	75	103	80	70	80
603	543	Venipede	Bug	Poison	57	139.0	5	False	30	45	59	30	39
604	544	Whirlipede	Bug	Poison	47	199.0	5	False	40	55	99	40	79
605	545	Scolipede	Bug	Poison	112	254.0	5	False	60	100	89	55	69
606	546	Cottonee	Grass	Fairy	66	132.0	5	False	40	27	60	37	50
607	547	Whimsicott	Grass	Fairy	116	217.0	5	False	60	67	85	77	75
608	548	Petilil	Grass		30	135.0	5	False	45	35	50	70	50
609	549	Lilligant	Grass		90	210.0	5	False	70	60	75	110	75
610	550	Basculin	Water		98	232.0	5	False	70	92	65	80	55
611	551	Sandile	Ground	Dark	65	162.0	5	False	50	72	35	35	35
612	552	Krokorok	Ground	Dark	74	192.0	5	False	60	82	45	45	45
613	553	Krookodile	Ground	Dark	92	297.0	5	False	95	117	80	65	70
614	554	Darumaka	Fire		50	210.0	5	False	70	90	45	15	45
615	555	DarmanitanStandard Mode	Fire		95	305.0	5	False	105	140	55	30	55
616	555	DarmanitanZen Mode	Fire	Psychic	55	245.0	5	False	105	30	105	140	105
617	556	Maractus	Grass		60	233.0	5	False	75	86	67	106	67
618	557	Dwebble	Bug	Rock	55	205.0	5	False	50	65	85	35	35
619	558	Crustle	Bug	Rock	45	295.0	5	False	70	95	125	65	75
620	559	Scraggy	Dark	Fighting	48	200.0	5	False	50	75	70	35	70
621	560	Scrafty	Dark	Fighting	58	275.0	5	False	65	90	115	45	115
622	561	Sigilyph	Psychic	Flying	97	215.0	5	False	72	58	80	103	80
623	562	Yamask	Ghost		30	158.0	5	False	38	30	85	55	65
624	563	Cofagrigus	Ghost		30	258.0	5	False	58	50	145	95	105
625	564	Tirtouga	Water	Rock	22	240.0	5	False	54	78	103	53	45
626	565	Carracosta	Water	Rock	32	320.0	5	False	74	108	133	83	65
627	566	Archen	Rock	Flying	70	217.0	5	False	55	112	45	74	45
628	567	Archeops	Rock	Flying	110	285.0	5	False	75	140	65	112	65
629	568	Trubbish	Poison		65	167.0	5	False	50	50	62	40	62
630	569	Garbodor	Poison		75	262.0	5	False	80	95	82	60	82
631	570	Zorua	Dark		65	150.0	5	False	40	65	40	80	40
632	571	Zoroark	Dark		105	230.0	5	False	60	105	60	120	60
633	572	Minccino	Normal		75	150.0	5	False	55	50	40	40	40
634	573	Cinccino	Normal		115	235.0	5	False	75	95	60	65	60
635	574	Gothita	Psychic		45	130.0	5	False	45	30	50	55	65
636	575	Gothorita	Psychic		55	180.0	5	False	60	45	70	75	85
637	576	Gothitelle	Psychic		65	225.0	5	False	70	55	95	95	110
638	577	Solosis	Psychic		20	120.0	5	False	45	30	40	105	50
639	578	Duosion	Psychic		30	160.0	5	False	65	40	50	125	60
640	579	Reuniclus	Psychic		30	255.0	5	False	110	65	75	125	85
641	580	Ducklett	Water	Flying	55	161.0	5	False	62	44	50	44	50
642	581	Swanna	Water	Flying	98	230.0	5	False	75	87	63	87	63
643	582	Vanillite	Ice		44	141.0	5	False	36	50	50	65	60
644	583	Vanillish	Ice		59	186.0	5	False	51	65	65	80	75
645	584	Vanilluxe	Ice		79	256.0	5	False	71	95	85	110	95
646	585	Deerling	Normal	Grass	75	175.0	5	False	60	60	50	40	50
647	586	Sawsbuck	Normal	Grass	95	255.0	5	False	80	100	70	60	70
648	587	Emolga	Electric	Flying	103	195.0	5	False	55	75	60	75	60
649	588	Karrablast	Bug		60	175.0	5	False	50	75	45	40	45
650	589	Escavalier	Bug	Steel	20	315.0	5	False	70	135	105	60	105
651	590	Foongus	Grass	Poison	15	174.0	5	False	69	55	45	55	55
652	591	Amoonguss	Grass	Poison	30	274.0	5	False	114	85	70	85	80
653	592	Frillish	Water	Ghost	40	150.0	5	False	55	40	50	65	85
654	593	Jellicent	Water	Ghost	60	235.0	5	False	100	60	70	85	105
655	594	Alomomola	Water		65	325.0	5	False	165	75	80	40	45
656	595	Joltik	Bug	Electric	65	152.0	5	False	50	47	50	57	50
657	596	Galvantula	Bug	Electric	108	212.0	5	False	70	77	60	97	60
658	597	Ferroseed	Grass	Steel	10	190.0	5	False	44	50	91	24	86
659	598	Ferrothorn	Grass	Steel	20	304.0	5	False	74	94	131	54	116
660	599	Klink	Steel		30	170.0	5	False	40	55	70	45	60
661	600	Klang	Steel		50	240.0	5	False	60	80	95	70	85
662	601	Klinklang	Steel		90	280.0	5	False	60	100	115	70	85
663	602	Tynamo	Electric		60	135.0	5	False	35	55	40	45	40
664	603	Eelektrik	Electric		40	225.0	5	False	65	85	70	75	70
665	604	Eelektross	Electric		50	285.0	5	False	85	115	80	105	80
666	605	Elgyem	Psychic		30	170.0	5	False	55	55	55	85	55
667	606	Beheeyem	Psychic		40	230.0	5	False	75	75	75	125	95
668	607	Litwick	Ghost	Fire	20	140.0	5	False	50	30	55	65	55
669	608	Lampent	Ghost	Fire	55	165.0	5	False	60	40	60	95	60
670	609	Chandelure	Ghost	Fire	80	210.0	5	False	60	55	90	145	90
671	610	Axew	Dragon		57	198.0	5	False	46	87	60	30	40
672	611	Fraxure	Dragon		67	258.0	5	False	66	117	70	40	50
673	612	Haxorus	Dragon		97	318.0	5	False	76	147	90	60	70
674	613	Cubchoo	Ice		40	170.0	5	False	55	70	40	60	40
675	614	Beartic	Ice		50	290.0	5	False	95	110	80	70	80
676	615	Cryogonal	Ice		105	155.0	5	False	70	50	30	95	135
677	616	Shelmet	Bug		25	180.0	5	False	50	40	85	40	65
678	617	Accelgor	Bug		145	195.0	5	False	80	70	40	100	60
679	618	Stunfisk	Ground	Electric	32	264.0	5	False	109	66	84	81	99
680	619	Mienfoo	Fighting		65	185.0	5	False	45	85	50	55	50
681	620	Mienshao	Fighting		105	255.0	5	False	65	125	60	95	60
682	621	Druddigon	Dragon		48	292.0	5	False	77	120	90	60	90
683	622	Golett	Ground	Ghost	35	188.0	5	False	59	74	50	35	50
684	623	Golurk	Ground	Ghost	55	298.0	5	False	89	124	80	55	80
685	624	Pawniard	Dark	Steel	60	205.0	5	False	45	85	70	40	40
686	625	Bisharp	Dark	Steel	70	295.0	5	False	65	125	100	60	70
687	626	Bouffalant	Normal		55	305.0	5	False	95	110	95	40	95
688	627	Rufflet	Normal	Flying	60	208.0	5	False	70	83	50	37	50
689	628	Braviary	Normal	Flying	80	303.0	5	False	100	123	75	57	75
690	629	Vullaby	Dark	Flying	60	205.0	5	False	70	55	75	45	65
691	630	Mandibuzz	Dark	Flying	80	285.0	5	False	110	65	105	55	95
692	631	Heatmor	Fire		65	253.0	5	False	85	97	66	105	66
693	632	Durant	Bug	Steel	109	284.0	5	False	58	109	112	48	48
694	633	Deino	Dark	Dragon	38	172.0	5	False	52	65	50	45	50
695	634	Zweilous	Dark	Dragon	58	232.0	5	False	72	85	70	65	70
696	635	Hydreigon	Dark	Dragon	98	292.0	5	False	92	105	90	125	90
697	636	Larvesta	Bug	Fire	60	200.0	5	False	55	85	55	50	55
698	637	Volcarona	Bug	Fire	100	215.0	5	False	85	60	65	135	105
699	638	Cobalion	Steel	Fighting	108	316.0	5	True	91	90	129	90	72
700	639	Terrakion	Rock	Fighting	108	316.0	5	True	91	129	90	72	90
701	640	Virizion	Grass	Fighting	108	259.0	5	True	91	90	72	90	129
702	641	TornadusIncarnate Forme	Flying		111	270.0	5	True	79	115	70	125	80
703	641	TornadusTherian Forme	Flying		121	265.0	5	True	79	100	80	110	90
704	642	ThundurusIncarnate Forme	Electric	Flying	111	270.0	5	True	79	115	70	125	80
705	642	ThundurusTherian Forme	Electric	Flying	101	260.0	5	True	79	105	70	145	80
706	643	Reshiram	Dragon	Fire	90	326.0	5	True	100	120	100	150	120
707	644	Zekrom	Dragon	Electric	90	376.0	5	True	100	150	120	120	100
708	645	LandorusIncarnate Forme	Ground	Flying	101	310.0	5	True	89	125	90	115	80
709	645	LandorusTherian Forme	Ground	Flying	91	330.0	5	True	89	145	90	105	80
710	646	Kyurem	Dragon	Ice	95	351.0	5	True	125	130	90	130	90
711	646	KyuremBlack Kyurem	Dragon	Ice	95	401.0	5	True	125	170	100	120	90
712	646	KyuremWhite Kyurem	Dragon	Ice	95	341.0	5	True	125	120	90	170	100
713	647	KeldeoOrdinary Forme	Water	Fighting	108	258.0	5	False	91	72	90	129	90
714	647	KeldeoResolute Forme	Water	Fighting	108	258.0	5	False	91	72	90	129	90
715	648	MeloettaAria Forme	Normal	Psychic	90	259.0	5	False	100	77	77	128	128
716	648	MeloettaPirouette Forme	Normal	Fighting	128	323.0	5	False	100	128	90	77	77
717	649	Genesect	Bug	Steel	99	291.0	5	False	71	120	95	120	95
718	650	Chespin	Grass		38	188.0	6	False	56	61	65	48	45
719	651	Quilladin	Grass		57	240.0	6	False	61	78	95	56	58
720	652	Chesnaught	Grass	Fighting	64	323.0	6	False	88	107	122	74	75
721	653	Fennekin	Fire		60	131.0	6	False	40	45	40	62	60
722	654	Braixen	Fire		73	182.0	6	False	59	59	58	90	70
723	655	Delphox	Fire	Psychic	104	222.0	6	False	75	69	72	114	100
724	656	Froakie	Water		71	143.0	6	False	41	56	40	62	44
725	657	Frogadier	Water		97	175.0	6	False	54	63	52	83	56
726	658	Greninja	Water	Dark	122	240.0	6	False	72	95	67	103	71
727	659	Bunnelby	Normal		57	118.0	6	False	38	36	38	32	36
728	660	Diggersby	Normal	Ground	78	224.0	6	False	85	56	77	50	77
729	661	Fletchling	Normal	Flying	62	144.0	6	False	45	50	43	40	38
730	662	Fletchinder	Fire	Flying	84	196.0	6	False	62	73	55	56	52
731	663	Talonflame	Fire	Flying	126	236.0	6	False	78	81	71	74	69
732	664	Scatterbug	Bug		35	119.0	6	False	38	35	40	27	25
733	665	Spewpa	Bug		29	133.0	6	False	45	22	60	27	30
734	666	Vivillon	Bug	Flying	89	188.0	6	False	80	52	50	90	50
735	667	Litleo	Fire	Normal	72	176.0	6	False	62	50	58	73	54
736	668	Pyroar	Fire	Normal	106	232.0	6	False	86	68	72	109	66
737	669	Flabébé	Fairy		42	127.0	6	False	44	38	39	61	79
738	670	Floette	Fairy		52	152.0	6	False	54	45	47	75	98
739	671	Florges	Fairy		75	217.0	6	False	78	65	68	112	154
740	672	Skiddo	Grass		52	185.0	6	False	66	65	48	62	57
741	673	Gogoat	Grass		68	291.0	6	False	123	100	62	97	81
742	674	Pancham	Fighting		43	217.0	6	False	67	82	62	46	48
743	675	Pangoro	Fighting	Dark	58	303.0	6	False	95	124	78	69	71
744	676	Furfrou	Normal		102	221.0	6	False	75	80	60	65	90
745	677	Espurr	Psychic		68	170.0	6	False	62	48	54	63	60
746	678	MeowsticMale	Psychic		104	204.0	6	False	74	48	76	83	81
747	678	MeowsticFemale	Psychic		104	204.0	6	False	74	48	76	83	81
748	679	Honedge	Steel	Ghost	28	231.0	6	False	45	80	100	35	37
749	680	Doublade	Steel	Ghost	35	325.0	6	False	59	110	150	45	49
750	681	AegislashBlade Forme	Steel	Ghost	60	266.0	6	False	60	150	50	150	50
751	681	AegislashShield Forme	Steel	Ghost	60	266.0	6	False	60	50	150	50	150
752	682	Spritzee	Fairy		23	196.0	6	False	78	52	60	63	65
753	683	Aromatisse	Fairy		29	251.0	6	False	101	72	72	99	89
754	684	Swirlix	Fairy		49	182.0	6	False	62	48	66	59	57
755	685	Slurpuff	Fairy		72	254.0	6	False	82	80	86	85	75
756	686	Inkay	Dark	Psychic	45	166.0	6	False	53	54	53	37	46
757	687	Malamar	Dark	Psychic	73	272.0	6	False	86	92	88	68	75
758	688	Binacle	Rock	Water	50	167.0	6	False	42	52	67	39	56
759	689	Barbaracle	Rock	Water	68	298.0	6	False	72	105	115	54	86
760	690	Skrelp	Poison	Water	30	176.0	6	False	50	60	60	60	60
